,year,title,published_at,category,nominee,artist,workers,winner
3403,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Country Vocal Performance, Female",Whoever's In New England,Reba McEntire,,True
3404,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Country Vocal Solo Performance, Male",Lost In The Fifties Tonight,Ronnie Milsap,,True
3405,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Country Performance By A Duo Or Group With Vocal,Grandpa (Tell Me 'Bout The Good Old Days),The Judds,,True
3406,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Country Instrumental Performance (Orchestra, Group Or Soloist)",Raisin' The Dickins,Ricky Skaggs,,True
3407,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Country Song,Grandpa (Tell Me 'Bout The Good Old Days),,"Jamie O'Hara, songwriter (The Judds)",True
3408,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Gospel Performance, Female",Morning Like This,Sandi Patti,,True
3409,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Gospel Performance, Male",Triumph,Philip Bailey,,True
3410,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",They Say,Sandi Patti & Deniece Williams,,True
3411,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Soul Gospel Performance, Female",I Surrender All,Deniece Williams,,True
3412,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Soul Gospel Performance, Male",Going Away,Al Green,,True
3413,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,"Best Soul Gospel Performance By A Duo, Group, Choir Or Chorus",Let My People Go,The Winans,,True
3414,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Latin Pop Performance,Le Lo Lai,Jose Feliciano,,True
3415,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Tropical Latin Performance,Escenas,Rubén Blades,,True
3416,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Mexican-American Performance,Ay Te Dejo En San Antonio,Flaco Jimenez,,True
3417,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Traditional Blues Recording,Showdown!,"Robert Cray, Albert Collins & Johnny Copeland",,True
3418,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Traditional Folk Recording,Riding The Midnight Train,Doc Watson,,True
3419,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Contemporary Folk Recording,Tribute To Steve Goodman,"Al Bunetta, Dan Einstein & Hank Neuberger, producers; (Arlo Guthrie, John Hartford, Richie Havens, Bonnie Koloc, Nitty Gritty Dirt Band, John Prine and Others)",,True
3420,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Polka Recording,Another Polka Celebration,Eddie Blazonczyk's Versatones,,True
3421,1986,29th Annual GRAMMY Awards  (1986),2017-11-28 00:03:45-08:00,Best Polka Recording,I Remember Warsaw,Jimmy Sturr & His Orchestra,,True
